"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_6703","01:35:00","01:36:00","102","12","0","0"
"GO103_25_6703","01:40:00","01:40:00","107","13","0","0"
"GO103_25_6703","01:42:00","01:42:00","55","14","0","0"
"GO103_25_6703","01:56:00","01:56:00","237","15","0","0"
"GO103_25_6704","01:37:00","01:37:00","349","1","0","0"
"GO103_25_6704","01:58:00","02:00:00","102","2","0","0"
"GO103_25_6704","02:05:00","02:05:00","86","3","1","1"
"GO103_25_6704","02:07:00","02:07:00","89","4","0","0"
"GO103_25_6704","02:10:00","02:10:00","175","5","0","0"
"GO103_25_6704","02:12:00","02:12:00","359","6","0","0"
"GO103_25_6704","02:14:00","02:14:00","23","7","0","0"
"GO103_25_6704","02:16:00","02:16:00","63","8","0","0"
"GO103_25_6704","02:19:00","02:19:00","195","9","0","0"
"GO103_25_6704","02:22:00","02:22:00","149","10","0","0"
"GO103_25_6704","02:25:00","02:25:00","68","11","0","0"
"GO103_25_6704","02:28:00","02:28:00","36","12","0","0"
"GO103_25_6704","02:32:00","02:32:00","84","13","0","0"
"GO103_25_6705","02:09:00","02:09:00","84","1","0","0"
"GO103_25_6705","02:13:00","02:13:00","36","2","0","0"
"GO103_25_6705","02:16:00","02:16:00","68","3","0","0"
"GO103_25_6705","02:18:00","02:18:00","149","4","0","0"
"GO103_25_6705","02:21:00","02:21:00","195","5","0","0"
"GO103_25_6705","02:24:00","02:24:00","63","6","0","0"
"GO103_25_6705","02:26:00","02:26:00","23","7","0","0"
"GO103_25_6705","02:38:00","02:40:00","102","8","0","0"
"GO103_25_6705","02:59:00","02:59:00","237","9","0","0"
"GO103_25_6706","02:35:00","02:35:00","237","1","0","0"
"GO103_25_6706","02:47:00","02:47:00","214","2","0","0"
"GO103_25_6706","02:56:00","02:57:00","102","3","0","0"
"GO103_25_6706","03:02:00","03:02:00","86","4","1","1"
"GO103_25_6706","03:04:00","03:04:00","89","5","0","0"
"GO103_25_6706","03:07:00","03:07:00","175","6","0","0"
"GO103_25_6706","03:09:00","03:09:00","359","7","0","0"
"GO103_25_6706","03:11:00","03:11:00","23","8","0","0"
"GO103_25_6706","03:13:00","03:13:00","63","9","0","0"
"GO103_25_6706","03:16:00","03:16:00","195","10","0","0"
"GO103_25_6706","03:19:00","03:19:00","149","11","0","0"
"GO103_25_6706","03:22:00","03:22:00","68","12","0","0"
"GO103_25_6706","03:25:00","03:25:00","36","13","0","0"
"GO103_25_6706","03:29:00","03:29:00","84","14","0","0"
"GO103_25_6709","03:57:00","03:57:00","84","1","0","0"
"GO103_25_6709","04:01:00","04:01:00","36","2","0","0"
"GO103_25_6709","04:04:00","04:04:00","68","3","0","0"
"GO103_25_6709","04:06:00","04:06:00","149","4","0","0"
"GO103_25_6709","04:09:00","04:09:00","195","5","0","0"
"GO103_25_6709","04:12:00","04:12:00","63","6","0","0"
"GO103_25_6709","04:14:00","04:14:00","23","7","0","0"
"GO103_25_6709","04:16:00","04:16:00","359","8","0","0"
"GO103_25_6709","04:19:00","04:19:00","175","9","0","0"
"GO103_25_6709","04:22:00","04:22:00","89","10","0","0"
"GO103_25_6709","04:24:00","04:24:00","86","11","1","1"
"GO103_25_6709","04:29:00","04:30:00","102","12","0","0"
"GO103_25_6709","04:38:00","04:38:00","214","13","0","0"
"GO103_25_6709","04:49:00","04:49:00","237","14","0","0"
"GO103_25_6710","05:26:00","05:26:00","237","1","0","0"
"GO103_25_6710","05:47:00","05:48:00","102","2","0","0"
"GO103_25_6710","05:52:00","05:52:00","86","3","1","1"
