from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246106724610841+1847071+0,246106724610841+1846569+0,1,
33,33,,,246108924610914+1847071+0,246108924610914+1846569+0,1,
33,33,,,246109524611753+1847071+0,246109524611753+1846569+0,1,
33,33,,,246101524611765+1847072+0,246101524611765+1846570+0,1,
33,33,,,246100424610052+1847117+0,246100424610052+1846577+0,1,
33,33,,,246106124610634+1847117+0,246106124610634+1846577+0,1,
33,33,,,246108924610912+1847117+0,246108924610912+1846577+0,1,
33,33,,,246100624610063+1847118+0,246100624610063+1846579+0,1,
33,33,,,246103224610433+1847118+0,246103224610413+1846579+0,1,
33,33,,,246105024611765+1847118+0,246101524611765+1846578+0,1,
33,33,,,246099224609933+1847210+0,246099224609933+1846588+0,1,
33,33,,,246101124610283+1847210+0,246101124610283+1846588+0,1,
33,33,,,246104624610562+1847210+0,246104624610562+1846588+0,1,
33,33,,,246106124610634+1847210+0,246106124610634+1846588+0,1,
33,33,,,246109524611752+1847210+0,246109524611752+1846588+0,1,
33,33,,,246109524611754+1847210+0,246109524611754+1846588+0,1,
33,33,,,246099424610015+1847211+0,246099424610015+1846589+0,1,
33,33,,,246099224609934+1847255+0,246099224609934+1846599+0,1,
33,33,,,246099724610002+1847255+0,246099724610002+1846599+0,1,
33,33,,,246104624610563+1847255+0,246104624610563+1846599+0,1,
33,33,,,246109524611754+1847255+0,246109524611754+1846599+0,1,
33,33,,,246101124610283+1847261+0,246101124610283+1846608+0,1,
33,33,,,246104624610564+1847261+0,246104624610564+1846608+0,1,
33,33,,,246099424610015+1847262+0,246099424610015+1846609+0,1,
33,33,,,246101524611765+1847262+0,246103424610365+1846609+0,1,
33,33,,,246101524611765+1847262+0,246104324611765+1846609+0,1,
33,33,,,246099224609933+1847265+0,246099224609933+1846615+0,1,
33,33,,,246099724610001+1847265+0,246099724610001+1846615+0,1,
33,33,,,246100424610062+1847265+0,246100424610052+1846615+0,1,
33,33,,,246101124610281+1847265+0,246101124610281+1846615+0,1,
33,33,,,246106724610844+1847265+0,246106724610844+1846615+0,1,
33,33,,,246109524611753+1847265+0,246109524611753+1846615+0,1,
33,33,,,246101524611765+1847266+0,246104324611765+1846616+0,1,
33,33,,,246101124610281+1847272+0,246101124610281+1846622+0,1,
33,33,,,246106124610632+1847272+0,246106124610632+1846622+0,1,
33,33,,,246109524611752+1847272+0,246109524611752+1846622+0,1,
33,33,,,246099524609956+1857952+0,246099524609956+1857290+0,1,
33,33,,,246100924610306+1857958+0,246100924610306+1857294+0,1,
33,33,,,246106024610656+1857990+0,246106024610656+1857339+0,1,
33,33,,,246099524609956+1858002+0,246099524609956+1857362+0,1,
33,33,,,246101024610527+1858009+0,246101024610527+1857369+0,1,
33,33,,,246103524610446+1858010+0,246103524610446+1857370+0,1,
33,33,,,246110024611776+1858010+0,246110024611776+1857370+0,1,
33,33,,,246099524609956+1858022+0,246099524609956+1857393+0,1,
33,33,,,246100324610037+1858044+0,246100324610037+1857432+0,1,
33,33,,,246106024610651+1858049+0,246106024610651+1857437+0,1,
33,33,,,246099624609967+1858066+0,246099624609967+1857465+0,1,
33,33,,,246101024610527+1858100+0,246101024610527+1857508+0,1,
33,33,,,246106024610656+1858101+0,246106024610656+1857509+0,1,
33,33,,,246108824610931+1858117+0,246108824610931+1857547+0,1,
33,33,,,246108824610936+1858117+0,246108824610936+1857547+0,1,
33,33,,,246109424611717+1858119+0,246109424611717+1857546+0,1,
33,33,,,246108724610877+1858120+0,246108724610877+1857548+0,1,
33,33,,,246109424611717+1858137+0,246109424611717+1857584+0,1,
33,33,,,246110024611776+1858138+0,246110024611776+1857585+0,1,
33,33,,,246103524610446+1858154+0,246103524610446+1857619+0,1,
33,33,,,246100224610026+1858175+0,246100224610026+1857654+0,1,
33,33,,,246106024610651+1858181+0,246106024610651+1857660+0,1,
33,33,,,246105924610597+1858182+0,246105924610597+1857661+0,1,
33,33,,,246100924610306+1858217+0,246100924610306+1857695+0,1,
33,33,,,246108824610931+1858219+0,246108824610931+1857697+0,1,
33,33,,,246103524610444+1858244+0,246103524610444+1857735+0,1,
33,33,,,246109424611717+1858266+0,246109424611717+1857772+0,1,
33,33,,,246100924610306+1858284+0,246100924610306+1857810+0,1,
33,33,,,246109424611717+1858285+0,246109424611717+1857811+0,1,
33,33,,,246108724610877+1858287+0,246108724610877+1857813+0,1,
33,33,,,246103524610444+1858306+0,246103524610444+1857851+0,1,
33,33,,,246108824610931+1858306+0,246108824610931+1857851+0,1,
33,33,,,246108824610936+1858306+0,246108824610936+1857851+0,1,
33,33,,,246100224610026+1858320+0,246100224610026+1857875+0,1,
33,33,,,246107224610866+1858326+0,246107224610866+1857881+0,1,
33,33,,,246105124610586+1858346+0,246105124610586+1857911+0,1,
33,33,,,246107224610866+1858346+0,246107224610866+1857911+0,1,
33,33,,,246105924610597+1858347+0,246105924610597+1857912+0,1,
33,33,,,246103524610446+1858355+0,246103524610446+1857921+0,1,
33,33,,,246106124610632+1846635+0,246106124610632+1846344+1,1,
33,33,,,246106724610841+1846635+0,246106724610841+1846344+1,1,
33,33,,,246099224609945+1846648+1,246099424610015+1846370+1,1,
33,33,,,246099724610012+1846648+1,246099724610002+1846369+1,1,
33,33,,,246100424610061+1846648+1,246100424610051+1846369+1,1,
33,33,,,246101124610292+1846648+1,246101124610282+1846369+1,1,
33,33,,,246103224610361+1846648+1,246103224610331+1846372+1,1,
33,33,,,246103924610435+1846648+1,246101524611765+1846370+1,1,
33,33,,,246104624610575+1846648+1,246101524611765+1846370+1,1,
33,33,,,246106124610645+1846648+1,246101524611765+1846370+1,1,
33,33,,,246106724610855+1846648+1,246101524611765+1846370+1,1,
33,33,,,246108924610924+1846648+1,246108924610914+1846369+1,1,
33,33,,,246108924610925+1846648+1,246101524611765+1846370+1,1,
33,33,,,246104124610413+1846649+1,246103924610413+1846372+1,1,
33,33,,,246099224609934+1846660+1,246099224609934+1846376+1,1,
33,33,,,246099724610004+1846660+1,246099724610004+1846376+1,1,
33,33,,,246104624610561+1846660+1,246104624610561+1846376+1,1,
33,33,,,246103924610413+1846663+1,246103224610433+1846382+1,1,
33,33,,,246103924610411+1846663+1,246103224610401+1846378+1,1,
33,33,,,246103624610435+1846664+1,246101524611765+1846377+1,1,
33,33,,,246099724610002+1846671+1,246099724610002+1846389+1,1,
33,33,,,246104624610563+1846671+1,246104624610563+1846389+1,1,
33,33,,,246106124610632+1846671+1,246106124610632+1846389+1,1,
33,33,,,246106724610842+1846671+1,246106724610842+1846389+1,1,
33,33,,,246108924610912+1846671+1,246108924610912+1846389+1,1,
33,33,,,246108924610913+1846671+1,246108924610913+1846389+1,1,
33,33,,,246108924610914+1846671+1,246108924610914+1846389+1,1,
33,33,,,246109524611751+1846671+1,246109524611751+1846389+1,1,
33,33,,,246099224609934+1846676+1,246099224609934+1846415+1,1,
33,33,,,246101124610283+1846676+1,246101124610283+1846415+1,1,
33,33,,,246103924610411+1846679+1,246103224610411+1846417+1,1,
33,33,,,246099724610001+1846701+1,246099724610001+1846429+1,1,
33,33,,,246100424610051+1846701+1,246100424610051+1846429+1,1,
33,33,,,246101124610282+1846701+1,246101124610282+1846429+1,1,
33,33,,,246104624610563+1846701+1,246104624610563+1846429+1,1,
33,33,,,246106124610634+1846701+1,246106124610634+1846429+1,1,
33,33,,,246101124610281+1846710+1,246101124610281+1846436+1,1,
33,33,,,246104624610561+1846710+1,246104624610561+1846436+1,1,
33,33,,,246106124610632+1846710+1,246106124610632+1846436+1,1,
33,33,,,246108924610914+1846710+1,246108924610914+1846436+1,1,
33,33,,,246103224610413+1846712+1,246103424610343+1846438+1,1,
33,33,,,246101124610283+1846713+1,246101124610283+1846436+1,1,
33,33,,,246106124610633+1846713+1,246106124610633+1846436+1,1,
33,33,,,246101124610282+1846717+1,246101124610282+1846440+1,1,
33,33,,,246101124610283+1846717+1,246101124610283+1846440+1,1,
33,33,,,246101124610284+1846717+1,246101124610284+1846440+1,1,
33,33,,,246103224610413+1846719+1,246103424610343+1846442+1,1,
33,33,,,246099724610002+1846723+1,246099724610002+1846456+1,1,
33,33,,,246099724610003+1846723+1,246099724610003+1846456+1,1,
33,33,,,246104624610563+1846723+1,246104624610563+1846456+1,1,
33,33,,,246109524611753+1846723+1,246109524611753+1846456+1,1,
33,33,,,246100624610063+1846725+1,246100624610063+1846457+1,1,
33,33,,,246100424610051+1846729+1,246100424610051+1846462+1,1,
33,33,,,246099424610015+1846730+1,246099424610015+1846463+1,1,
33,33,,,246099724610003+1846735+0,246099724610003+1844526+0,1,
33,33,,,246101124610283+1846735+0,246101124610283+1844526+0,1,
33,33,,,246101124610284+1846735+0,246101124610284+1844526+0,1,
33,33,,,246104624610564+1846735+0,246104624610564+1844526+0,1,
33,33,,,246109524611751+1846735+0,246109524611751+1844526+0,1,
33,33,,,246103924610402+1846737+0,246103924610432+1844527+0,1,
33,33,,,246099724610002+1846738+0,246099724610002+1846474+0,1,
33,33,,,246100424610051+1846738+0,246100424610051+1846474+0,1,
33,33,,,246106124610634+1846738+0,246106124610634+1846474+0,1,
33,33,,,246108924610913+1846738+0,246108924610913+1846474+0,1,
33,33,,,246109524611753+1846738+0,246109524611753+1846474+0,1,
33,33,,,246106724610843+1846748+0,246106724610843+1846486+0,1,
33,33,,,246108924610912+1846748+0,246108924610912+1846486+0,1,
33,33,,,246103224610413+1846750+0,246103424610343+1846488+0,1,
33,33,,,246101124610281+1846757+0,246101124610281+1846494+0,1,
33,33,,,246101124610281+1846767+0,246101124610281+1846505+0,1,
33,33,,,246101124610282+1846767+0,246101124610282+1846505+0,1,
33,33,,,246104624610561+1846767+0,246104624610561+1846505+0,1,
33,33,,,246106724610842+1846767+0,246106724610842+1846505+0,1,
33,33,,,246106724610843+1846767+0,246106724610843+1846505+0,1,
33,33,,,246108924610914+1846767+0,246108924610914+1846505+0,1,
33,33,,,246109524611752+1846767+0,246109524611752+1846505+0,1,
33,33,,,246100624610063+1846769+0,246100624610063+1846507+0,1,
33,33,,,246103224610412+1846769+0,246103224610412+1846507+0,1,
33,33,,,246106124610634+1846770+0,246106124610634+1846513+0,1,
33,33,,,246106724610843+1846770+0,246106724610843+1846513+0,1,
33,33,,,246099424610015+1846771+0,246099424610015+1846514+0,1,
33,33,,,246103224610412+1846772+0,246103224610332+1846516+0,1,
33,33,,,246103224610413+1846772+0,246103424610343+1846515+0,1,
33,33,,,246101524611765+1846779+0,246101524611765+1846526+0,1,
33,33,,,246100624610063+1846780+0,246100624610063+1846527+0,1,
33,33,,,246103224610411+1846780+0,246103224610331+1846528+0,1,
33,33,,,246103224610411+1846780+0,246103924610411+1846528+0,1,
33,33,,,246099224609934+1846785+0,246099224609934+1846540+0,1,
33,33,,,246100624610063+1846787+0,246100624610063+1846542+0,1,
33,33,,,246103224610411+1846787+0,246103224610331+1846543+0,1,
33,33,,,246103224610412+1846787+0,246103224610332+1846543+0,1,
33,33,,,246099724610003+1846923+0,246099724610003+1846552+0,1,
33,33,,,246101124610284+1846923+0,246101124610284+1846552+0,1,
33,33,,,246104624610563+1846923+0,246104624610563+1846552+0,1,
33,33,,,246101124610284+1847000+0,246101124610284+1846559+0,1,
33,33,,,246106124610632+1847000+0,246106124610632+1846559+0,1,
33,33,,,246100424610052+1847055+0,246100424610062+1846566+0,1,
33,33,,,246101124610283+1847055+0,246101124610283+1846566+0,1,
33,33,,,246104624610564+1847055+0,246104624610564+1846566+0,1,
33,33,,,246108924610914+1847055+0,246108924610914+1846566+0,1,
33,33,,,246101124610283+1847071+0,246101124610283+1846569+0,1,
33,33,,,246104624610562+1847071+0,246104624610562+1846569+0,1,
33,33,,,246106724610843+1847071+0,246106724610843+1846569+0,1,
33,33,,,246106724610844+1847071+0,246106724610844+1846569+0,1,
33,33,,,246109524611752+1847071+0,246109524611752+1846569+0,1,
33,33,,,246103224610412+1847073+0,246103924610412+1846572+0,1,
33,33,,,246099724610002+1847117+0,246099724610002+1846577+0,1,
33,33,,,246109524611751+1847117+0,246109524611751+1846577+0,1,
33,33,,,246103224610432+1847118+0,246103224610412+1846579+0,1,
33,33,,,246101124610284+1847210+0,246101124610284+1846588+0,1,
33,33,,,246104624610563+1847210+0,246104624610563+1846588+0,1,
